"id","loc_internal_id","loc_playable","loc_removed","loc_url_source","loc_url_valid","loc_view_coor","loc_view_lat","loc_view_lng","loc_key_lat","loc_key_lng","loc_key_coor","loc_key_shp","loc_key_shp_valid","loc_image_source","loc_image_valid","geoid","loc_city","loc_state","loc_country","loc_date_add","loc_date_updated"
1,geo35407875,true,false,https://www.airbnb.com/rooms/35407875,true,POINT (-77.724 39.199),"39.199",-77.724,"39.198929",-77.724146,POINT (-77.724146 39.198929),"POLYGON ((-77.72416368534019 39.19910795345183, -77.72403041403076 39.19908301037361, -77.72411222140572 39.19884566168834, -77.72423342277457 39.19886852625433, -77.72416100313117 39.19910795345183, -77.72416368534019 39.19910795345183))",true,https://a0.muscache.com/im/pictures/0096fc4e-a337-4e53-8cf2-069aafd5956d.jpg,true,,Purcellville,VA,US,2023-10-13 05:08:01.000 -0500,2023-12-28 19:57:33.635 -0600
2,geo21635878,true,false,https://www.airbnb.com/rooms/21635878,true,POINT (-86.874 36.13),"36.13",-86.874,"36.130585",-86.874253,POINT (-86.874253 36.130585),"POLYGON ((-86.87439811884327 36.13068271167849, -86.87427082535436 36.13074391107437, -86.87412062164952 36.13052519948165, -86.87424255072041 36.13046399991519, -86.87439811884327 36.13068271167849, -86.87439811884327 36.13068271167849))",true,https://a0.muscache.com/im/pictures/019d83a3-c763-4401-a491-b1b7557fa23b.jpg,true,,Nashville,TN,US,2023-10-13 05:08:01.000 -0500,2023-12-28 20:10:03.792 -0600
3,geo28916363,true,false,https://www.airbnb.com/rooms/28916363,true,POINT (-105.036 39.937),"39.937",-105.036,"39.936731",-105.036431,POINT (-105.036431 39.936731),"POLYGON ((-105.03653941718056 39.936830067843054, -105.03642048344845 39.93683058199077, -105.03641914234395 39.936681804528526, -105.03653941718056 39.936681290379695, -105.03653941718056 39.936830067843054, -105.03653941718056 39.936830067843054))",true,https://a0.muscache.com/im/pictures/198c9b32-edea-4b79-8855-6a3754ec7b8e.jpg,true,,Broomfield,CO,US,2023-10-13 05:08:01.000 -0500,2023-12-28 20:14:25.215 -0600
4,geo34464521,true,false,https://www.airbnb.com/rooms/34464521,true,POINT (-77.785 39.004),"39.004",-77.785,"39.004344",-77.784176,POINT (-77.784176 39.004344),"POLYGON ((-77.78422162235454 39.004421139836616, -77.78411160218238 39.00443364586138, -77.78408746230124 39.00425956493838, -77.78433223867512 39.00423715825394, -77.7843423217602 39.00432313735328, -77.78420888186172 39.004336704838586, -77.78422162235454 39.004421139836616, -77.78422162235454 39.004421139836616))",true,https://a0.muscache.com/im/pictures/1a2c1324-6df7-4ee1-949a-7730fc1d029a.jpg,true,,Middleburg,VA,US,2023-10-13 05:08:01.000 -0500,2023-12-28 20:26:15.101 -0600
5,geo34310518,true,false,https://www.airbnb.com/rooms/34310518,true,POINT (-117.007 32.616),"32.616",-117.007,"32.615764",-117.008045,POINT (-117.008045 32.615764),"POLYGON ((-117.00808495797467 32.615902711143896, -117.00793463403869 32.61581573066063, -117.00805131013084 32.61566313093558, -117.00808034157359 32.61567936920924, -117.00809619839947 32.61566065989369, -117.00816301719665 32.615697866717426, -117.00811828789152 32.615759289713196, -117.00817212976766 32.61578964818979, -117.00808495797467 32.615902711143896, -117.00808495797467 32.615902711143896))",true,https://a0.muscache.com/im/pictures/1c6e07e1-f0f7-4616-b5ab-28b463237540.jpg,true,,Chula Vista,CA,US,2023-10-13 05:08:01.000 -0500,2023-12-28 20:27:01.543 -0600
6,geo34309695,true,false,https://www.airbnb.com/rooms/34309695,true,POINT (-111.416 40.513),"40.513",-111.416,"40.511854",-111.415457,POINT (-111.415457 40.511854),"POLYGON ((-111.41555807768017 40.51191657203792, -111.41541761312718 40.511914532832485, -111.41541761312718 40.51178938875477, -111.41555941878468 40.51179142796402, -111.41555807768017 40.51191657203792, -111.41555807768017 40.51191657203792))",true,https://a0.muscache.com/im/pictures/211ea57f-20af-40bc-9472-b353c5871778.jpg,true,,Heber City,UT,US,2023-10-13 05:08:01.000 -0500,2023-12-28 20:33:28.591 -0600
7,geo34660837,true,false,https://www.airbnb.com/rooms/34660837,true,POINT (-122.026 37.396),"37.396",-122.026,"37.396974",-122.024731,POINT (-122.024731 37.396974),"POLYGON ((-122.02476611819377 37.397097255984846, -122.02469277852155 37.39708180718595, -122.02470170623867 37.397056503112, -122.02461474498354 37.397037591640576, -122.02466704805933 37.3968859033055, -122.02482244458308 37.39691839913609, -122.02476611819377 37.397097255984846, -122.02476611819377 37.397097255984846))",true,https://a0.muscache.com/im/pictures/2191ad6b-bb65-4fc7-a16e-7e052f170c21.jpg,true,,Sunnyvale,CA,US,2023-10-13 05:08:01.000 -0500,2023-12-28 20:34:53.564 -0600
8,geo36063720,true,false,https://www.airbnb.com/rooms/36063720,true,POINT (-120.711 35.481),"35.481",-120.711,"35.480589",-120.709744,POINT (-120.709744 35.480589),"POLYGON ((-120.70984891454678 35.480627473867884, -120.70976917259044 35.480696274704975, -120.70961896888561 35.4805712756489, -120.70973760287266 35.48047735688522, -120.70981873969536 35.48054149462819, -120.70978320042592 35.48057068583102, -120.70984891454678 35.480627473867884, -120.70984891454678 35.480627473867884))",true,https://a0.muscache.com/im/pictures/24d4538e-83c2-4518-877b-05abba150126.jpg,true,,Atascadero,CA,US,2023-10-13 05:08:01.000 -0500,2023-12-28 20:35:58.030 -0600
9,geo23211741,true,false,https://www.airbnb.com/rooms/23211741,true,POINT (-159.479 22.224),"22.224",-159.479,"22.2243",-159.47824,POINT (-159.47824 22.2243),"POLYGON ((-159.47822554649323 22.22440456026443, -159.4781525295642 22.224341245113486, -159.47817331668406 22.224316139178015, -159.47810827311545 22.22425254753031, -159.4782286006117 22.224139573294952, -159.47837440909356 22.224250064581053, -159.47822554649323 22.22440456026443))",true,https://a0.muscache.com/im/pictures/368ff296-447e-48f4-aee2-1ebe787feb9e.jpg,true,,Princeville,HI,US,2023-10-13 05:08:01.000 -0500,2024-01-11 11:25:02.370 -0600
10,geo35596979,true,false,https://www.airbnb.com/rooms/35596979,true,POINT (-117.277 33.042),"33.042",-117.277,"33.041095",-117.27746,POINT (-117.27746 33.041095),"POLYGON ((-117.27752311919883 33.04115690531074, -117.27752158863451 33.04117826548651, -117.27743892124751 33.04117770337667, -117.2774398834324 33.041151846321, -117.2773908458309 33.041151846321, -117.27739017527864 33.04103590524535, -117.27752378975109 33.041038715798955, -117.27752311919883 33.04115690531074))",true,https://a0.muscache.com/im/pictures/36dbd854-0072-470b-b1a9-7b6ed9637685.jpg,true,,Encinitas,CA,US,2023-10-13 05:08:01.000 -0500,2023-12-28 20:37:31.525 -0600
11,geo11699032,true,false,https://www.airbnb.com/rooms/11699032,true,POINT (-116.472 33.954),"33.954",-116.472,"33.954353",-116.471408,POINT (-116.471408 33.954353),"POLYGON ((-116.47144040775646 33.95446331336473, -116.47129110265956 33.95446442578642, -116.47128171492801 33.95422711259425, -116.47143504333843 33.95422933744375, -116.47144040775646 33.95446331336473))",true,https://a0.muscache.com/im/pictures/4073cd1f-8e3c-4b9a-9146-02a17dfad9a5.jpg,true,,Desert Hot Springs,CA,US,2023-10-13 05:08:01.000 -0500,2023-12-28 20:38:27.440 -0600
12,geo35405830,true,false,https://www.airbnb.com/rooms/35405830,true,POINT (-71.164 42.265),"42.265",-71.164,"42.26503",-71.164081,POINT (-71.164081 42.26503),"POLYGON ((-71.16417564698362 42.265085155625556, -71.16401853952453 42.265091110459814, -71.16401049289749 42.26499767129192, -71.16416894146109 42.26499122021192, -71.16417564698362 42.265085155625556))",true,https://a0.muscache.com/im/pictures/5e2c0288-c073-4e61-a012-28403831a14a.jpg,true,,Boston,MA,US,2023-10-13 05:08:01.000 -0500,
13,geo35828879,true,false,https://www.airbnb.com/rooms/35828879,true,POINT (-82.558 35.574),"35.574",-82.558,"35.574779",-82.557188,POINT (-82.557188 35.574779),"POLYGON ((-82.55727423080242 35.5749107663475, -82.55708500539124 35.57487967868837, -82.55711987410844 35.57472086234676, -82.55731245228088 35.57475140466906, -82.55727423080242 35.5749107663475))",true,https://a0.muscache.com/im/pictures/5f702ed6-2941-48b9-9ec8-df9118573d01.jpg,true,,Asheville,NC,US,2023-10-13 05:08:01.000 -0500,2024-01-11 11:27:28.038 -0600
14,geo15875081,true,false,https://www.airbnb.com/rooms/15875081,true,POINT (-159.506 22.201),"22.201",-159.506,"22.20214",-159.505685,POINT (-159.505685 22.20214),"POLYGON ((-159.50576441295993 22.202199866631368, -159.50562302139866 22.202192416612625, -159.5056283858167 22.202073925017686, -159.50577245958698 22.2020801333719, -159.50576441295993 22.202199866631368))",true,https://a0.muscache.com/im/pictures/66054be1-1d4b-40a8-973e-e506d3181a9b.jpg,true,,Hanalei,HI,US,2023-10-13 05:08:01.000 -0500,2024-01-11 11:28:07.980 -0600
15,geo2241976,true,false,https://www.airbnb.com/rooms/2241976,true,POINT (-119.215 34.151),"34.151",-119.215,"34.15206",-119.216226,POINT (-119.216226 34.15206),"POLYGON ((-119.21636319290937 34.15214079401915, -119.21628527890097 34.152182967577474, -119.21618067274939 34.15205744913343, -119.21625791620554 34.152010836182704, -119.21636319290937 34.15214079401915))",true,https://a0.muscache.com/im/pictures/7fbd301c-4de9-47ce-aafd-94d1fcc924b1.jpg,true,,Oxnard,CA,US,2023-10-13 05:08:01.000 -0500,2023-12-28 20:40:42.573 -0600
16,geo34533960,true,false,https://www.airbnb.com/rooms/34533960,true,POINT (-80.168 25.689),"25.689",-80.168,"25.68998",-80.16812,POINT (-80.16812 25.68998),"POLYGON ((-80.16819593140436 25.690049634337964, -80.16800517656495 25.690053259956212, -80.16800249435593 25.689883777753604, -80.16819324919534 25.68987894358903, -80.16819593140436 25.690049634337964))",true,https://a0.muscache.com/im/pictures/80b9f757-9597-47c7-b68d-edae7526ddaf.jpg,true,,Key Biscayne,FL,US,2023-10-13 05:08:01.000 -0500,2023-12-29 11:47:09.329 -0600
17,geo34017217,true,false,https://www.airbnb.com/rooms/34017217,true,POINT (-121.925 36.549),"36.549",-121.925,"36.548959",-121.926345,POINT (-121.926345 36.548959),"POLYGON ((-121.92654418709786 36.549016127401586, -121.926256454024 36.54901235659519, -121.92625578347175 36.54892826828699, -121.92654284599335 36.54893042303587, -121.92654418709786 36.549016127401586))",true,https://a0.muscache.com/im/pictures/80d9efdf-6a80-474d-b37a-7666d0fb27c1.jpg,true,,Carmel-by-the-Sea,CA,US,2023-10-13 05:08:01.000 -0500,2024-01-11 11:28:56.219 -0600
18,geo33909046,true,false,https://www.airbnb.com/rooms/33909046,true,POINT (-80.136 26.01),"26.01",-80.136,"26.00969",-80.135747,POINT (-80.135747 26.00969),"POLYGON ((-80.13580032366174 26.009745757342152, -80.13568697081573 26.009746359980472, -80.1356829475022 26.009623395164475, -80.13579697090047 26.009622792525466, -80.13580032366174 26.009745757342152))",true,https://a0.muscache.com/im/pictures/82569388-23db-4909-8a84-ede56b628dc1.jpg,true,,Hollywood,FL,US,2023-10-13 05:08:01.000 -0500,2024-01-11 11:29:48.311 -0600
19,geo35118580,true,false,https://www.airbnb.com/rooms/35118580,true,POINT (-117.259 33.086),"33.086",-117.259,"33.084774",-117.260068,POINT (-117.260068 33.084774),"POLYGON ((-117.26015328507886 33.0848460191061, -117.260000819832 33.08484377178205, -117.26000149038425 33.08470984652755, -117.2601526145266 33.08471097019126, -117.26015328507886 33.0848460191061))",true,https://a0.muscache.com/im/pictures/89843992-592f-4771-8b51-cf07dd62f4c3.jpg,true,,Carlsbad,CA,US,2023-10-13 05:08:01.000 -0500,2024-01-03 21:19:48.676 -0600
20,geo35194774,true,false,https://www.airbnb.com/rooms/35194774,true,POINT (-82.318 29.651),"29.651",-82.318,"29.651603",-82.318546,POINT (-82.318546 29.651603),"POLYGON ((-82.31894103884815 29.651703304435014, -82.31873165940355 29.65170272169236, -82.31872428332876 29.651437428175786, -82.31893366277336 29.651438593664196, -82.31894103884815 29.651703304435014))",true,https://a0.muscache.com/im/pictures/959ddd8e-c5ee-41c0-b590-d44a61db3199.jpg,true,,Gainesville,FL,US,2023-10-13 05:08:01.000 -0500,2024-01-11 11:31:19.017 -0600
21,geo22608532,true,false,https://www.airbnb.com/rooms/22608532,true,POINT (-121.923 36.565),"36.565",-121.923,"36.564128",-121.921706,POINT (-121.921706 36.564128),"POLYGON ((-121.92173354126187 36.56423090803098, -121.92159262804965 36.564229292289305, -121.92159262804965 36.56406386977769, -121.92173488236638 36.56406386977769, -121.92173354126187 36.56423090803098))",true,https://a0.muscache.com/im/pictures/ad2e46a5-fe4e-42e7-adbe-f96557e17380.jpg,true,,Carmel-by-the-Sea,CA,US,2023-10-13 05:08:01.000 -0500,2024-01-11 11:31:57.320 -0600
22,geo32134845,true,false,https://www.airbnb.com/rooms/32134845,true,POINT (-97.461 35.193),"35.193",-97.461,"35.192593",-97.460074,POINT (-97.460074 35.192593),"POLYGON ((-97.46010621709453 35.19275358543902, -97.45987618708514 35.19275468141348, -97.4598748153943 35.19264727584595, -97.4599596402544 35.19264588088034, -97.45995729332151 35.19256119170048, -97.46010487599003 35.19255899974633, -97.46010621709453 35.19275358543902))",true,https://a0.muscache.com/im/pictures/badaad91-f59a-45ed-8269-d94bc7baf17e.jpg,true,,Norman,OK,US,2023-10-13 05:08:01.000 -0500,2023-12-28 19:43:01.223 -0600
23,geo35934775,true,false,https://www.airbnb.com/rooms/35934775,true,POINT (-80.738 24.854),"24.854",-80.738,"24.854752",-80.738889,POINT (-80.738889 24.854752),"POLYGON ((-80.73900333943988 24.854804639668522, -80.73882159921789 24.854854531977914, -80.73876393172407 24.85468962524641, -80.73894567194606 24.854637299095515, -80.73900333943988 24.854804639668522))",true,https://a0.muscache.com/im/pictures/baf9b738-7988-40b7-9bbe-9d680fc02a9d.jpg,true,,Islamorada,FL,US,2023-10-13 05:08:01.000 -0500,2023-12-29 12:07:29.333 -0600
24,geo6459861,true,false,https://www.airbnb.com/rooms/6459861,true,POINT (-86.275 42.401),"42.401",-86.275,"42.400259",-86.274862,POINT (-86.274862 42.400259),"POLYGON ((-86.27496420801228 42.40029684277728, -86.27479197849591 42.40029684277728, -86.27479331960042 42.40014192983071, -86.27496420801228 42.40014292017425, -86.27496420801228 42.40029684277728))",true,https://a0.muscache.com/im/pictures/bf331402-e01d-4859-b35c-a08c56b54782.jpg,true,,South Haven,MI,US,2023-10-13 05:08:01.000 -0500,2023-12-29 18:43:16.979 -0600
25,geo35991101,true,false,https://www.airbnb.com/rooms/35991101,true,POINT (-79.785544 32.791845),"32.791845",-79.785544,"32.792592",-79.78733,POINT (-79.78733 32.792592),"POLYGON ((-79.78735870834342 32.7927626927498, -79.78720339102753 32.79267250235063, -79.78730933828362 32.79253066312415, -79.78746599670401 32.79261634414218, -79.78735870834342 32.7927626927498))",true,https://a0.muscache.com/im/pictures/c2b62430-9e8c-47eb-ac65-61f5ed4f62c0.jpg,true,,Isle of Palms,SC,US,2023-10-13 05:08:01.000 -0500,2024-01-11 11:32:29.964 -0600
